Name,xwOBA,xBA,xSLG,matched_name
Tarik Skubal,,,,Tarik Skubal
Paul Skenes,0.256,0.201,0.312,Paul Skenes
Cristopher Sanchez,0.289,0.229,0.378,Cristopher Sanchez
Garrett Crochet,,,,Garrett Crochet
Logan Webb,,,,Logan Webb
Jesus Luzardo,,,,Jesus Luzardo
Hunter Brown,,,,Hunter Brown
Framber Valdez,,,,Framber Valdez
Yoshinobu Yamamoto,,,,Yoshinobu Yamamoto
Zack Wheeler,,,,Zack Wheeler
Max Fried,0.315,0.254,0.438,Max Fried
Nathan Eovaldi,,,,Nathan Eovaldi
Joe Ryan,0.325,0.263,0.467,Joe Ryan
Matthew Boyd,,,,Matthew Boyd
Ranger Suarez,,,,Ranger Suarez
Nick Pivetta,0.307,0.259,0.453,Nick Pivetta
Jacob deGrom,,,,Jacob deGrom
Trevor Rogers,,,,Trevor Rogers
Kris Bubic,,,,Kris Bubic
Andrew Abbott,,,,Andrew Abbott
Michael Wacha,,,,Michael Wacha
Freddy Peralta,0.298,0.235,0.401,Freddy Peralta
Jose Soriano,,,,Jose Soriano
Bryan Woo,,,,Bryan Woo
Sonny Gray,,,,Sonny Gray
David Peterson,,,,David Peterson
Kevin Gausman,0.321,0.268,0.456,Kevin Gausman
Brady Singer,0.312,0.251,0.441,Brady Singer
Dylan Cease,,,,Dylan Cease
MacKenzie Gore,,,,MacKenzie Gore
Drew Rasmussen,,,,Drew Rasmussen
Chris Sale,,,,Chris Sale
Carlos Rodon,,,,Carlos Rodon
Merrill Kelly,,,,Merrill Kelly
Nick Lodolo,,,,Nick Lodolo
Mitch Keller,,,,Mitch Keller
Spencer Schwellenbach,,,,Spencer Schwellenbach
Yusei Kikuchi,,,,Yusei Kikuchi
Luis Severino,,,,Luis Severino
Robbie Ray,,,,Robbie Ray
Hunter Greene,,,,Hunter Greene
Aroldis Chapman,,,,Aroldis Chapman
Dean Kremer,,,,Dean Kremer
Robert Suarez,,,,Robert Suarez
Adrian Morejon,,,,Adrian Morejon
Chris Bassitt,,,,Chris Bassitt
Will Warren,,,,Will Warren
Edward Cabrera,0.305,0.247,0.429,Edward Cabrera
Jack Flaherty,0.332,0.279,0.489,Jack Flaherty
Logan Gilbert,,,,Logan Gilbert
Chad Patrick,,,,Chad Patrick
Jack Leiter,,,,Jack Leiter
Adrian Houser,,,,Adrian Houser
Jhoan Duran,,,,Jhoan Duran
Cade Smith,,,,Cade Smith
Janson Junk,,,,Janson Junk
Bryan Abreu,,,,Bryan Abreu
Casey Mize,,,,Casey Mize
Brayan Bello,,,,Brayan Bello
Clay Holmes,0.311,0.241,0.402,Clay Holmes
Ryan Pepiot,,,,Ryan Pepiot
Nick Martinez,,,,Nick Martinez
Clayton Kershaw,,,,Clayton Kershaw
Luis Castillo,,,,Luis Castillo
George Kirby,,,,George Kirby
Justin Verlander,,,,Justin Verlander
Matthew Liberatore,,,,Matthew Liberatore
David Bednar,,,,David Bednar
Lucas Giolito,,,,Lucas Giolito
Cade Horton,,,,Cade Horton
Ryne Nelson,,,,Ryne Nelson
Tyler Mahle,,,,Tyler Mahle
Garrett Whitlock,,,,Garrett Whitlock
Cole Ragans,,,,Cole Ragans
Shane Baz,0.334,0.279,0.489,Shane Baz
Noah Cameron,,,,Noah Cameron
Taj Bradley,,,,Taj Bradley
Pablo Lopez,,,,Pablo Lopez
Andres Munoz,,,,Andres Munoz
Sean Newcomb,,,,Sean Newcomb
Jeffrey Springs,0.329,0.271,0.498,Jeffrey Springs
Jose Berrios,,,,Jose Berrios
Sandy Alcantara,,,,Sandy Alcantara
Trevor Megill,,,,Trevor Megill
Tylor Megill,,,,Tylor Megill
Gabe Speier,,,,Gabe Speier
Kodai Senga,,,,Kodai Senga
Edwin Diaz,,,,Edwin Diaz
Tyler Alexander,,,,Tyler Alexander
Michael King,,,,Michael King
Reese Olson,,,,Reese Olson
Shane Smith,,,,Shane Smith
Jose A. Ferrer,,,,Jose A. Ferrer
Randy Rodriguez,,,,Randy Rodriguez
Abner Uribe,,,,Abner Uribe
Jacob Dreyer,,,,Jacob Dreyer
Mason Miller,,,,Mason Miller
Jason Adam,,,,Jason Adam
Graham Ashcraft,,,,Graham Ashcraft
Jacob Lopez,,,,Jacob Lopez
Patrick Corbin,,,,Patrick Corbin
Ben Casparius,,,,Ben Casparius
Will Vest,,,,Will Vest
Kyle Hendricks,,,,Kyle Hendricks
Michael Lorenzen,,,,Michael Lorenzen
Braxton Ashcraft,,,,Braxton Ashcraft
Jeremiah Estrada,,,,Jeremiah Estrada
Kyle Finnegan,,,,Kyle Finnegan
Clarke Schmidt,,,,Clarke Schmidt
Carmen Mlodzinski,,,,Carmen Mlodzinski
Kyle Freeland,,,,Kyle Freeland
Steven Okert,,,,Steven Okert
Hoby Milner,,,,Hoby Milner
Griffin Jax,,,,Griffin Jax
Chase Burns,,,,Chase Burns
Brandon Pfaadt,,,,Brandon Pfaadt
Shota Imanaga,,,,Shota Imanaga
Zack Littell,,,,Zack Littell
Eric Lauer,,,,Eric Lauer
Steven Matz,,,,Steven Matz
Brandon Woodruff,,,,Brandon Woodruff
Tyler Rogers,,,,Tyler Rogers
Pete Fairbanks,,,,Pete Fairbanks
Brendon Little,,,,Brendon Little
Reid Detmers,,,,Reid Detmers
Bradley Lord,,,,Bradley Lord
Zebby Matthews,,,,Zebby Matthews
Trevor Williams,0.356,0.283,0.518,Trevor Williams
Matt Strahm,,,,Matt Strahm
Martin Perez,,,,Martin Perez
Daniel Palencia,,,,Daniel Palencia
Shohei Ohtani,,,,Shohei Ohtani
Grant Taylor,,,,Grant Taylor
Quinn Priester,,,,Quinn Priester
Zac Gallen,,,,Zac Gallen
Gavin Williams,,,,Gavin Williams
Tanner Bibee,,,,Tanner Bibee
Landen Roupp,,,,Landen Roupp
Logan Allen,,,,Logan Allen
Josh Hader,,,,Josh Hader
Michael McGreevy,,,,Michael McGreevy
Bennett Sousa,,,,Bennett Sousa
Emmanuel Clase,,,,Emmanuel Clase
Emmet Sheehan,,,,Emmet Sheehan
Joey Wentz,,,,Joey Wentz
Brad Keller,,,,Brad Keller
Shawn Armstrong,,,,Shawn Armstrong
Louie Varland,,,,Louie Varland
Jacob Misiorowski,,,,Jacob Misiorowski
Caleb Thielbar,,,,Caleb Thielbar
Mike Soroka,,,,Mike Soroka
Cade Povich,,,,Cade Povich
Fernando Cruz,,,,Fernando Cruz
Eduardo Rodriguez,,,,Eduardo Rodriguez
Ben Brown,,,,Ben Brown
Tanner Gordon,,,,Tanner Gordon
Hurston Waldrep,,,,Hurston Waldrep
Stephen Kolek,,,,Stephen Kolek
Justin Wrobleski,,,,Justin Wrobleski
Hunter Dobbins,,,,Hunter Dobbins
Luis L. Ortiz,,,,Luis L. Ortiz
Justin Wilson,,,,Justin Wilson
Aaron Civale,,,,Aaron Civale
Devin Williams,,,,Devin Williams
Phil Maton,,,,Phil Maton
Tyler Glasnow,,,,Tyler Glasnow
Griffin Canning,,,,Griffin Canning
Ronny Henriquez,,,,Ronny Henriquez
Eury Perez,,,,Eury Perez
Bryan King,,,,Bryan King
Ryan Walker,,,,Ryan Walker
Chris Paddack,,,,Chris Paddack
Dennis Santana,,,,Dennis Santana
Carlos Estevez,,,,Carlos Estevez
Kyle Leahy,,,,Kyle Leahy
Joey Cantillo,,,,Joey Cantillo
Cole Sands,,,,Cole Sands
Garrett Cleavinger,,,,Garrett Cleavinger
Tony Santillan,,,,Tony Santillan
Jake Latz,,,,Jake Latz
Gregory Soto,,,,Gregory Soto
Justin Topa,,,,Justin Topa
Colin Rea,,,,Colin Rea
Tomoyuki Sugano,,,,Tomoyuki Sugano
Edwin Uceta,,,,Edwin Uceta
Orion Kerkering,,,,Orion Kerkering
Dustin May,,,,Dustin May
Ryan Gusto,,,,Ryan Gusto
Lucas Erceg,,,,Lucas Erceg
Davis Martin,,,,Davis Martin
Braydon Fisher,,,,Braydon Fisher
Grant Holmes,0.341,0.288,0.521,Grant Holmes
Sean Burke,,,,Sean Burke
Aaron Ashby,,,,Aaron Ashby
Isaac Mattson,,,,Isaac Mattson
Alex Vesia,,,,Alex Vesia
Reed Garrett,,,,Reed Garrett
German Marquez,,,,German Marquez
Chris Martin,,,,Chris Martin
Cameron Schlittler,,,,Cameron Schlittler
Ryan Bergert,,,,Ryan Bergert
Mike Burrows,,,,Mike Burrows
Matt Brash,,,,Matt Brash
Jimmy Herget,,,,Jimmy Herget
Brandon Walter,,,,Brandon Walter
Jose Quintana,,,,Jose Quintana
Mitchell Parker,,,,Mitchell Parker
Tanner Banks,,,,Tanner Banks
Enyel De Los Santos,,,,Enyel De Los Santos
JoJo Romero,,,,JoJo Romero
Jose Butto,,,,Jose Butto
Raisel Iglesias,,,,Raisel Iglesias
Tyler Kinley,,,,Tyler Kinley
Blake Snell,,,,Blake Snell
Corbin Burnes,,,,Corbin Burnes
Ian Seymour,,,,Ian Seymour
Seranthony Dominguez,,,,Seranthony Dominguez
Danny Coulombe,,,,Danny Coulombe
Brock Stewart,,,,Brock Stewart
Steven Wilson,,,,Steven Wilson
Manuel Rodriguez,,,,Manuel Rodriguez
Sean Manaea,,,,Sean Manaea
Charlie Morton,,,,Charlie Morton
JP Sears,,,,JP Sears
Andre Pallante,0.351,0.288,0.521,Andre Pallante
Nick Mears,,,,Nick Mears
Mark Leiter Jr.,,,,Mark Leiter Jr.
Shelby Miller,,,,Shelby Miller
Camilo Doval,,,,Camilo Doval
Taijuan Walker,,,,Taijuan Walker
Matt Svanson,,,,Matt Svanson
Luke Weaver,,,,Luke Weaver
Brenan Hanifee,,,,Brenan Hanifee
AJ Smith-Shawver,,,,AJ Smith-Shawver
Caleb Ferguson,,,,Caleb Ferguson
Ronel Blanco,,,,Ronel Blanco
Matt Festa,,,,Matt Festa
Luis Garcia,,,,Luis Garcia
Juan Mejia,,,,Juan Mejia
Felix Bautista,,,,Felix Bautista
Mason Englert,,,,Mason Englert
Jameson Taillon,,,,Jameson Taillon
Seth Lugo,,,,Seth Lugo
Bailey Falter,,,,Bailey Falter
Greg Weissert,,,,Greg Weissert
Jared Koenig,,,,Jared Koenig
Wandy Peralta,,,,Wandy Peralta
Lake Bachar,,,,Lake Bachar
Angel Zerpa,,,,Angel Zerpa
Brennan Bernardino,,,,Brennan Bernardino
Andrew Kittredge,,,,Andrew Kittredge
Bailey Ober,,,,Bailey Ober
Jake Bird,,,,Jake Bird
Troy Melton,,,,Troy Melton
John Schreiber,,,,John Schreiber
Max Meyer,,,,Max Meyer
Kolby Allard,,,,Kolby Allard
Robert Garcia,,,,Robert Garcia
Emilio Pagan,,,,Emilio Pagan
Dietrich Enns,,,,Dietrich Enns
Eric Orze,,,,Eric Orze
Taylor Clarke,,,,Taylor Clarke
DL Hall,,,,DL Hall
Hunter Gaddis,,,,Hunter Gaddis
Miles Mikolas,,,,Miles Mikolas
Scott Barlow,,,,Scott Barlow
Bryce Elder,,,,Bryce Elder
Max Scherzer,,,,Max Scherzer
Simeon Woods Richardson,,,,Simeon Woods Richardson
Spencer Strider,,,,Spencer Strider
Victor Vodnik,,,,Victor Vodnik
Cal Quantrill,,,,Cal Quantrill
Anthony Bender,,,,Anthony Bender
Brant Hurter,,,,Brant Hurter
Pierce Johnson,,,,Pierce Johnson
Jakob Junis,,,,Jakob Junis
Aaron Bummer,,,,Aaron Bummer
Brandon Eisert,,,,Brandon Eisert
Jackson Perkins,,,,Jackson Perkins
Spencer Bivens,,,,Spencer Bivens
Gordon Graceffo,,,,Gordon Graceffo
Drew Pomeranz,,,,Drew Pomeranz
Grant Anderson,,,,Grant Anderson
Ben Lively,,,,Ben Lively
J.T. Ginn,,,,J.T. Ginn
Andrew Chafin,,,,Andrew Chafin
Hogan Harris,,,,Hogan Harris
Tobias Myers,,,,Tobias Myers
Valente Bellozo,,,,Valente Bellozo
Ryan Feltner,,,,Ryan Feltner
Mike Vasil,,,,Mike Vasil
Kenley Jansen,,,,Kenley Jansen
Slade Cecconi,,,,Slade Cecconi
Jordan Leasure,,,,Jordan Leasure
Jonathan Cannon,,,,Jonathan Cannon
Kumar Rocker,,,,Kumar Rocker
Max Kranick,,,,Max Kranick
Bryan Baker,,,,Bryan Baker
Ryan Yarbrough,,,,Ryan Yarbrough
Randy Vasquez,,,,Randy Vasquez
David Festa,,,,David Festa
Yu Darvish,,,,Yu Darvish
Aaron Nola,,,,Aaron Nola
Jordan Hicks,,,,Jordan Hicks
David Morgan,,,,David Morgan
Yerry De Los Santos,,,,Yerry De Los Santos
Jake Woodford,,,,Jake Woodford
Brock Burke,,,,Brock Burke
Eduard Bazardo,,,,Eduard Bazardo
Huascar Brazoban,,,,Huascar Brazoban
Calvin Faucher,,,,Calvin Faucher
Jason Alexander,,,,Jason Alexander
Colton Gordon,,,,Colton Gordon
Cade Gibson,,,,Cade Gibson
Steven Cruz,,,,Steven Cruz
Justin Sterner,,,,Justin Sterner
Yoendrys Gomez,,,,Yoendrys Gomez
Ryan Helsley,,,,Ryan Helsley
Riley O'Brien,,,,Riley O'Brien
Nic Enright,,,,Nic Enright
Yariel Rodriguez,,,,Yariel Rodriguez
Taylor Rogers,,,,Taylor Rogers
Tanner Scott,,,,Tanner Scott
Hayden Wesneski,,,,Hayden Wesneski
Mason Montgomery,,,,Mason Montgomery
Cole Winn,,,,Cole Winn
Caleb Boushley,,,,Caleb Boushley
Jalen Beeks,,,,Jalen Beeks
Erik Miller,,,,Erik Miller
Jackson Jobe,,,,Jackson Jobe
Tyler Gilbert,,,,Tyler Gilbert
