Name,Team,G,PA,AB,H,HR,R,RBI,SB,AVG,OBP,SLG,OPS,ISO,BABIP,wOBA,wRC+,BB%,K%,xBA,xSLG,xwOBA,HardHit%,Barrel%,EV,LA,maxEV,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,K:BB,Rank
Aaron Judge,NYY,127,567,460,149,43,110,97,9,0.324,0.443,0.674,1.117,0.35,0.38,0.452,196,17.1,25.2,0.299,0.697,0.451,55.60000000000001,24.2,95.0,19.0,118.1,38.8,35.4,25.8,9.3,48.1,42.5,1.47,1
Nicholas Kurtz,ATH,94,392,334,103,27,70,70,2,0.308,0.402,0.632,1.033,0.323,0.394,0.432,178,13.5,29.799999999999997,0.263,0.55,0.387,51.1,17.2,92.7,14.7,113.8,36.4,34.5,29.100000000000005,7.3,50.0,42.7,2.21,2
Shohei Ohtani,LAD,134,615,518,143,45,124,85,17,0.276,0.386,0.6,0.986,0.324,0.309,0.408,165,14.800000000000002,25.7,0.287,0.656,0.434,58.099999999999994,21.8,94.8,14.1,117.9,47.5,35.9,16.6,10.2,45.3,44.5,1.74,3
George Springer,TOR,116,476,403,121,24,84,68,16,0.3,0.391,0.533,0.925,0.233,0.328,0.396,157,11.8,18.3,0.297,0.576,0.41,45.1,15.0,89.8,16.9,113.3,41.3,35.9,22.8,15.299999999999999,49.4,35.3,1.55,4
Cal Raleigh,SEA,135,594,503,122,50,88,107,14,0.243,0.354,0.579,0.932,0.336,0.243,0.387,156,13.600000000000001,26.899999999999995,0.234,0.545,0.372,49.4,18.5,91.5,25.8,115.2,56.39999999999999,23.7,19.9,19.4,42.2,38.4,1.98,5
Ronald Acuna Jr.,ATL,72,312,257,73,15,58,31,6,0.284,0.41,0.51,0.92,0.226,0.356,0.396,156,17.0,25.3,0.262,0.52,0.389,51.7,14.6,92.1,14.6,115.5,38.2,40.4,21.3,12.4,48.3,39.3,1.49,6
Kyle Schwarber,PHI,138,615,515,126,49,96,119,10,0.245,0.366,0.577,0.943,0.332,0.254,0.397,155,14.6,26.700000000000003,0.272,0.618,0.422,60.199999999999996,20.7,94.5,19.5,116.7,55.1,28.1,16.8,14.800000000000002,41.2,44.0,1.83,7
Juan Soto,NYM,136,605,483,124,36,104,90,26,0.257,0.397,0.518,0.915,0.261,0.263,0.389,155,18.7,19.3,0.297,0.624,0.442,55.89999999999999,18.0,94.2,11.3,115.0,41.7,37.9,20.4,14.499999999999998,40.9,44.6,1.03,8
Will Smith,LAD,107,426,352,103,17,62,60,2,0.293,0.404,0.497,0.901,0.205,0.341,0.39,152,15.0,20.7,0.274,0.5,0.383,45.7,12.3,91.1,18.6,110.1,33.5,39.4,27.1,11.9,52.400000000000006,35.7,1.38,9
Ketel Marte,ARI,105,461,393,114,24,76,61,4,0.29,0.39,0.527,0.917,0.237,0.298,0.391,152,12.8,15.0,0.301,0.557,0.406,46.3,14.400000000000002,90.9,15.1,115.5,47.2,32.8,19.9,17.8,45.4,36.8,1.17,10
