Name,Team,G,PA,AB,H,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,OPS,wOBA,wRC+,K:BB
Aaron Judge,NYY,127,567,460,149,43,110,97,9,0.171,0.252,0.35,0.38,0.324,0.443,0.674,1.117,0.452,196,1.47
Nicholas Kurtz,ATH,94,392,334,103,27,70,70,2,0.135,0.298,0.323,0.394,0.308,0.402,0.632,1.033,0.432,178,2.21
Shohei Ohtani,LAD,134,615,518,143,45,124,85,17,0.14800000000000002,0.257,0.324,0.309,0.276,0.386,0.6,0.986,0.408,165,1.74
George Springer,TOR,116,476,403,121,24,84,68,16,0.11800000000000001,0.183,0.233,0.328,0.3,0.391,0.533,0.925,0.396,157,1.55
Cal Raleigh,SEA,135,594,503,122,50,88,107,14,0.136,0.26899999999999996,0.336,0.243,0.243,0.354,0.579,0.932,0.387,156,1.98
Ronald Acuna Jr.,ATL,72,312,257,73,15,58,31,6,0.17,0.253,0.226,0.356,0.284,0.41,0.51,0.92,0.396,156,1.49
Kyle Schwarber,PHI,138,615,515,126,49,96,119,10,0.146,0.267,0.332,0.254,0.245,0.366,0.577,0.943,0.397,155,1.83
Juan Soto,NYM,136,605,483,124,36,104,90,26,0.187,0.193,0.261,0.263,0.257,0.397,0.518,0.915,0.389,155,1.03
Ketel Marte,ARI,105,461,393,114,24,76,61,4,0.128,0.15,0.237,0.298,0.29,0.39,0.527,0.917,0.391,152,1.17
Will Smith,LAD,107,426,352,103,17,62,60,2,0.15,0.207,0.205,0.341,0.293,0.404,0.497,0.901,0.39,152,1.38
Kyle Stowers,MIA,117,457,399,115,25,61,73,5,0.105,0.27399999999999997,0.256,0.356,0.288,0.368,0.544,0.912,0.386,148,2.61
Ramon Laureano,- - -,111,407,368,108,22,63,70,5,0.069,0.24100000000000002,0.247,0.343,0.293,0.354,0.541,0.895,0.38,147,3.49
Max Muncy,LAD,89,347,279,72,17,44,64,4,0.17300000000000001,0.21,0.233,0.284,0.258,0.389,0.491,0.88,0.38,146,1.21
Jonathan Aranda,TBR,103,409,358,113,12,53,54,0,0.098,0.249,0.162,0.409,0.316,0.394,0.478,0.871,0.377,142,2.54
Freddie Freeman,LAD,123,522,460,138,18,67,76,4,0.1,0.21100000000000002,0.2,0.356,0.3,0.374,0.5,0.874,0.373,141,2.11
Rafael Devers,- - -,139,622,516,136,29,83,94,1,0.154,0.257,0.227,0.323,0.264,0.383,0.49,0.873,0.374,140,1.67
Corbin Carroll,ARI,122,548,489,126,29,93,71,23,0.08900000000000001,0.24600000000000002,0.299,0.296,0.258,0.332,0.556,0.888,0.373,140,2.76
Roman Anthony,BOS,70,300,254,74,8,48,31,4,0.133,0.27699999999999997,0.173,0.402,0.291,0.397,0.465,0.861,0.378,139,2.08
Byron Buxton,MIN,104,447,401,109,29,82,72,21,0.081,0.26,0.279,0.305,0.272,0.333,0.551,0.884,0.37,138,3.21
Pete Alonso,NYM,138,604,529,141,31,74,110,1,0.091,0.22,0.244,0.296,0.267,0.346,0.51,0.856,0.364,138,2.42
Vladimir Guerrero Jr.,TOR,132,577,494,142,21,84,74,5,0.127,0.14400000000000002,0.188,0.307,0.287,0.383,0.476,0.859,0.37,138,1.13
Kyle Tucker,CHC,132,582,486,130,21,88,70,25,0.14800000000000002,0.14800000000000002,0.198,0.285,0.267,0.38,0.465,0.845,0.365,137,1.0
Corey Seager,TEX,102,445,380,103,21,61,50,3,0.13,0.196,0.216,0.299,0.271,0.373,0.487,0.86,0.366,137,1.51
Alex Bregman,BOS,93,400,350,100,16,52,53,1,0.098,0.145,0.209,0.302,0.286,0.37,0.494,0.864,0.372,135,1.48
Michael Busch,CHC,132,500,445,117,26,64,76,4,0.08800000000000001,0.24,0.236,0.303,0.263,0.342,0.499,0.841,0.361,135,2.73
Bryce Harper,PHI,110,484,420,113,23,63,64,11,0.11599999999999999,0.209,0.233,0.301,0.269,0.36,0.502,0.862,0.367,135,1.8
Jeremy Pena,HOU,109,468,424,130,14,57,51,20,0.064,0.165,0.17,0.346,0.307,0.366,0.476,0.843,0.364,135,2.58
Trent Grisham,NYY,120,482,411,101,28,71,57,3,0.139,0.21600000000000003,0.231,0.262,0.246,0.356,0.477,0.832,0.362,134,1.55
Geraldo Perdomo,ARI,138,613,509,145,16,86,88,24,0.134,0.111,0.163,0.297,0.285,0.385,0.448,0.833,0.363,133,0.83
Isaac Paredes,HOU,94,409,351,91,19,51,50,0,0.12,0.16399999999999998,0.211,0.27,0.259,0.359,0.47,0.829,0.361,133,1.37
Eugenio Suarez,- - -,135,553,492,117,42,79,105,4,0.069,0.282,0.307,0.249,0.238,0.309,0.545,0.854,0.359,131,4.09
Riley Greene,DET,135,564,518,140,32,74,101,2,0.071,0.305,0.245,0.341,0.27,0.324,0.515,0.84,0.357,130,4.3
Ivan Herrera,STL,84,351,304,87,12,37,51,6,0.094,0.19399999999999998,0.155,0.329,0.286,0.369,0.441,0.809,0.355,130,2.06
Drake Baldwin,ATL,101,353,317,90,15,43,62,0,0.09300000000000001,0.156,0.18,0.304,0.284,0.357,0.464,0.821,0.358,130,1.68
Ryan O'Hearn,- - -,121,458,395,110,16,58,54,3,0.114,0.188,0.172,0.316,0.278,0.369,0.451,0.82,0.355,130,1.65
Bo Bichette,TOR,135,608,567,176,17,74,88,4,0.059000000000000004,0.145,0.168,0.343,0.31,0.354,0.478,0.832,0.358,130,2.46
Maikel Garcia,KCR,135,562,503,150,15,65,64,22,0.091,0.133,0.177,0.324,0.298,0.361,0.475,0.837,0.361,129,1.46
Matt Olson,ATL,138,619,532,143,21,78,77,1,0.129,0.247,0.186,0.337,0.269,0.365,0.455,0.82,0.357,129,1.91
Bobby Witt Jr.,KCR,135,590,533,158,20,88,76,34,0.076,0.18600000000000003,0.205,0.337,0.296,0.353,0.501,0.853,0.36,129,2.45
Jazz Chisholm Jr.,NYY,105,438,374,89,26,66,67,25,0.12300000000000001,0.27399999999999997,0.249,0.272,0.238,0.339,0.487,0.825,0.355,129,2.23
Cody Bellinger,NYY,127,544,494,138,26,75,83,11,0.077,0.131,0.225,0.277,0.279,0.333,0.504,0.837,0.355,129,1.7
Fernando Tatis Jr.,SDP,134,600,512,135,18,93,57,27,0.135,0.18,0.166,0.302,0.264,0.37,0.43,0.8,0.349,128,1.33
Jose Ramirez,CLE,132,561,496,139,26,84,68,36,0.096,0.107,0.216,0.272,0.28,0.355,0.496,0.851,0.354,128,1.11
