pitcher_name,team,innings_pitched,composite_score,grade,tier,whip,fip,siera,csw_rate,xera,xfip,xwoba,xba,xslg,stuff_plus,era,k_rate,bb_rate,strengths,weaknesses,score_breakdown,rank
Paul Skenes,PIT,167.0,93.2,A+,Elite,0.95,2.46,3.17,29.3,2.58,3.08,0.238,0.234,0.343,114,2.05,28.6,5.8,WHIP: 0.95; FIP: 2.46; SIERA: 3.17,None identified,"{'WHIP': {'value': 0.95, 'percentile_score': 95, 'weight': 0.15, 'contribution': 14.25}, 'FIP': {'value': 2.46, 'percentile_score': 95, 'weight': 0.15, 'contribution': 14.25}, 'SIERA': {'value': 3.17, 'percentile_score': 95, 'weight': 0.12, 'contribution': 11.4}, 'CSW%': {'value': 29.3, 'percentile_score': 80, 'weight': 0.12, 'contribution': 9.6}, 'xERA': {'value': 2.58, 'percentile_score': 95, 'weight': 0.1, 'contribution': 9.5}, 'xFIP': {'value': 3.08, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'xwOBA': {'value': 0.238, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'xBA': {'value': 0.234, 'percentile_score': 95, 'weight': 0.06, 'contribution': 5.7}, 'xSLG': {'value': 0.343, 'percentile_score': 95, 'weight': 0.06, 'contribution': 5.7}, 'Stuff+': {'value': 114, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}}",1
Cristopher Sanchez,PHI,169.1,91.6,A+,Elite,1.12,2.59,3.09,31.0,3.05,2.83,0.318,0.211,0.3,128,2.66,26.3,6.0,WHIP: 1.12; FIP: 2.59; SIERA: 3.09,None identified,"{'WHIP': {'value': 1.12, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'FIP': {'value': 2.59, 'percentile_score': 95, 'weight': 0.15, 'contribution': 14.25}, 'SIERA': {'value': 3.09, 'percentile_score': 95, 'weight': 0.12, 'contribution': 11.4}, 'CSW%': {'value': 31.0, 'percentile_score': 95, 'weight': 0.12, 'contribution': 11.4}, 'xERA': {'value': 3.05, 'percentile_score': 95, 'weight': 0.1, 'contribution': 9.5}, 'xFIP': {'value': 2.83, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'xwOBA': {'value': 0.318, 'percentile_score': 80, 'weight': 0.08, 'contribution': 6.4}, 'xBA': {'value': 0.211, 'percentile_score': 95, 'weight': 0.06, 'contribution': 5.7}, 'xSLG': {'value': 0.3, 'percentile_score': 95, 'weight': 0.06, 'contribution': 5.7}, 'Stuff+': {'value': 128, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}}",2
Joe Ryan,MIN,155.0,85.5,A,Elite,0.97,3.29,3.19,27.8,3.36,3.56,0.291,0.242,0.414,108,3.08,28.3,4.9,WHIP: 0.97; FIP: 3.29; SIERA: 3.19,None identified,"{'WHIP': {'value': 0.97, 'percentile_score': 95, 'weight': 0.15, 'contribution': 14.25}, 'FIP': {'value': 3.29, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'SIERA': {'value': 3.19, 'percentile_score': 95, 'weight': 0.12, 'contribution': 11.4}, 'CSW%': {'value': 27.8, 'percentile_score': 60, 'weight': 0.12, 'contribution': 7.199999999999999}, 'xERA': {'value': 3.36, 'percentile_score': 95, 'weight': 0.1, 'contribution': 9.5}, 'xFIP': {'value': 3.56, 'percentile_score': 80, 'weight': 0.08, 'contribution': 6.4}, 'xwOBA': {'value': 0.291, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'xBA': {'value': 0.242, 'percentile_score': 80, 'weight': 0.06, 'contribution': 4.8}, 'xSLG': {'value': 0.414, 'percentile_score': 80, 'weight': 0.06, 'contribution': 4.8}, 'Stuff+': {'value': 108, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}}",3
Nick Pivetta,SDP,158.1,81.2,A-,Above Average,0.94,3.35,3.61,28.9,3.73,3.78,0.297,0.245,0.388,92,2.84,26.8,6.7,WHIP: 0.94; FIP: 3.35; SIERA: 3.61,Stuff+: 92,"{'WHIP': {'value': 0.94, 'percentile_score': 95, 'weight': 0.15, 'contribution': 14.25}, 'FIP': {'value': 3.35, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'SIERA': {'value': 3.61, 'percentile_score': 80, 'weight': 0.12, 'contribution': 9.6}, 'CSW%': {'value': 28.9, 'percentile_score': 80, 'weight': 0.12, 'contribution': 9.6}, 'xERA': {'value': 3.73, 'percentile_score': 80, 'weight': 0.1, 'contribution': 8.0}, 'xFIP': {'value': 3.78, 'percentile_score': 80, 'weight': 0.08, 'contribution': 6.4}, 'xwOBA': {'value': 0.297, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'xBA': {'value': 0.245, 'percentile_score': 80, 'weight': 0.06, 'contribution': 4.8}, 'xSLG': {'value': 0.388, 'percentile_score': 95, 'weight': 0.06, 'contribution': 5.7}, 'Stuff+': {'value': 92, 'percentile_score': 40, 'weight': 0.08, 'contribution': 3.2}}",4
Max Fried,NYY,162.0,80.2,A-,Above Average,1.11,3.22,3.65,27.4,3.73,3.5,0.338,0.221,0.338,123,3.06,23.1,6.3,WHIP: 1.11; FIP: 3.22; SIERA: 3.65,None identified,"{'WHIP': {'value': 1.11, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'FIP': {'value': 3.22, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'SIERA': {'value': 3.65, 'percentile_score': 80, 'weight': 0.12, 'contribution': 9.6}, 'CSW%': {'value': 27.4, 'percentile_score': 60, 'weight': 0.12, 'contribution': 7.199999999999999}, 'xERA': {'value': 3.73, 'percentile_score': 80, 'weight': 0.1, 'contribution': 8.0}, 'xFIP': {'value': 3.5, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'xwOBA': {'value': 0.338, 'percentile_score': 60, 'weight': 0.08, 'contribution': 4.8}, 'xBA': {'value': 0.221, 'percentile_score': 95, 'weight': 0.06, 'contribution': 5.7}, 'xSLG': {'value': 0.338, 'percentile_score': 95, 'weight': 0.06, 'contribution': 5.7}, 'Stuff+': {'value': 123, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}}",5
Freddy Peralta,MIL,153.2,78.4,B+,Above Average,1.07,3.6,3.83,27.2,3.41,3.99,0.348,0.235,0.441,105,2.58,26.7,9.2,WHIP: 1.07; FIP: 3.6; SIERA: 3.83,None identified,"{'WHIP': {'value': 1.07, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'FIP': {'value': 3.6, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'SIERA': {'value': 3.83, 'percentile_score': 80, 'weight': 0.12, 'contribution': 9.6}, 'CSW%': {'value': 27.2, 'percentile_score': 60, 'weight': 0.12, 'contribution': 7.199999999999999}, 'xERA': {'value': 3.41, 'percentile_score': 95, 'weight': 0.1, 'contribution': 9.5}, 'xFIP': {'value': 3.99, 'percentile_score': 80, 'weight': 0.08, 'contribution': 6.4}, 'xwOBA': {'value': 0.348, 'percentile_score': 60, 'weight': 0.08, 'contribution': 4.8}, 'xBA': {'value': 0.235, 'percentile_score': 95, 'weight': 0.06, 'contribution': 5.7}, 'xSLG': {'value': 0.441, 'percentile_score': 60, 'weight': 0.06, 'contribution': 3.5999999999999996}, 'Stuff+': {'value': 105, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}}",6
Edward Cabrera,MIA,128.2,77.6,B+,Above Average,1.21,3.68,3.64,31.0,3.92,3.57,0.33,0.273,0.446,108,3.57,25.8,7.7,FIP: 3.68; SIERA: 3.64; CSW%: 31.0,None identified,"{'WHIP': {'value': 1.21, 'percentile_score': 60, 'weight': 0.15, 'contribution': 9.0}, 'FIP': {'value': 3.68, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'SIERA': {'value': 3.64, 'percentile_score': 80, 'weight': 0.12, 'contribution': 9.6}, 'CSW%': {'value': 31.0, 'percentile_score': 95, 'weight': 0.12, 'contribution': 11.4}, 'xERA': {'value': 3.92, 'percentile_score': 80, 'weight': 0.1, 'contribution': 8.0}, 'xFIP': {'value': 3.57, 'percentile_score': 80, 'weight': 0.08, 'contribution': 6.4}, 'xwOBA': {'value': 0.33, 'percentile_score': 80, 'weight': 0.08, 'contribution': 6.4}, 'xBA': {'value': 0.273, 'percentile_score': 60, 'weight': 0.06, 'contribution': 3.5999999999999996}, 'xSLG': {'value': 0.446, 'percentile_score': 60, 'weight': 0.06, 'contribution': 3.5999999999999996}, 'Stuff+': {'value': 108, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}}",7
Kevin Gausman,TOR,160.2,76.0,B+,Above Average,1.05,3.65,3.83,28.0,3.73,3.84,0.338,0.252,0.501,101,3.75,24.3,6.7,WHIP: 1.05; FIP: 3.65; SIERA: 3.83,xSLG: 0.501,"{'WHIP': {'value': 1.05, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'FIP': {'value': 3.65, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'SIERA': {'value': 3.83, 'percentile_score': 80, 'weight': 0.12, 'contribution': 9.6}, 'CSW%': {'value': 28.0, 'percentile_score': 80, 'weight': 0.12, 'contribution': 9.6}, 'xERA': {'value': 3.73, 'percentile_score': 80, 'weight': 0.1, 'contribution': 8.0}, 'xFIP': {'value': 3.84, 'percentile_score': 80, 'weight': 0.08, 'contribution': 6.4}, 'xwOBA': {'value': 0.338, 'percentile_score': 60, 'weight': 0.08, 'contribution': 4.8}, 'xBA': {'value': 0.252, 'percentile_score': 80, 'weight': 0.06, 'contribution': 4.8}, 'xSLG': {'value': 0.501, 'percentile_score': 40, 'weight': 0.06, 'contribution': 2.4}, 'Stuff+': {'value': 101, 'percentile_score': 80, 'weight': 0.08, 'contribution': 6.4}}",8
Jack Flaherty,DET,142.1,64.0,C+,Average,1.29,3.94,3.61,29.8,4.06,3.69,0.337,0.283,0.491,97,4.74,28.1,8.6,SIERA: 3.61; CSW%: 29.8; xFIP: 3.69,xBA: 0.283; xSLG: 0.491,"{'WHIP': {'value': 1.29, 'percentile_score': 60, 'weight': 0.15, 'contribution': 9.0}, 'FIP': {'value': 3.94, 'percentile_score': 60, 'weight': 0.15, 'contribution': 9.0}, 'SIERA': {'value': 3.61, 'percentile_score': 80, 'weight': 0.12, 'contribution': 9.6}, 'CSW%': {'value': 29.8, 'percentile_score': 80, 'weight': 0.12, 'contribution': 9.6}, 'xERA': {'value': 4.06, 'percentile_score': 60, 'weight': 0.1, 'contribution': 6.0}, 'xFIP': {'value': 3.69, 'percentile_score': 80, 'weight': 0.08, 'contribution': 6.4}, 'xwOBA': {'value': 0.337, 'percentile_score': 60, 'weight': 0.08, 'contribution': 4.8}, 'xBA': {'value': 0.283, 'percentile_score': 40, 'weight': 0.06, 'contribution': 2.4}, 'xSLG': {'value': 0.491, 'percentile_score': 40, 'weight': 0.06, 'contribution': 2.4}, 'Stuff+': {'value': 97, 'percentile_score': 60, 'weight': 0.08, 'contribution': 4.8}}",9
Brady Singer,CIN,143.1,57.2,C,Below Average,1.26,3.74,4.14,27.5,4.12,4.2,0.341,0.281,0.437,90,4.08,23.1,8.6,None identified,xBA: 0.281; Stuff+: 90,"{'WHIP': {'value': 1.26, 'percentile_score': 60, 'weight': 0.15, 'contribution': 9.0}, 'FIP': {'value': 3.74, 'percentile_score': 60, 'weight': 0.15, 'contribution': 9.0}, 'SIERA': {'value': 4.14, 'percentile_score': 60, 'weight': 0.12, 'contribution': 7.199999999999999}, 'CSW%': {'value': 27.5, 'percentile_score': 60, 'weight': 0.12, 'contribution': 7.199999999999999}, 'xERA': {'value': 4.12, 'percentile_score': 60, 'weight': 0.1, 'contribution': 6.0}, 'xFIP': {'value': 4.2, 'percentile_score': 60, 'weight': 0.08, 'contribution': 4.8}, 'xwOBA': {'value': 0.341, 'percentile_score': 60, 'weight': 0.08, 'contribution': 4.8}, 'xBA': {'value': 0.281, 'percentile_score': 40, 'weight': 0.06, 'contribution': 2.4}, 'xSLG': {'value': 0.437, 'percentile_score': 60, 'weight': 0.06, 'contribution': 3.5999999999999996}, 'Stuff+': {'value': 90, 'percentile_score': 40, 'weight': 0.08, 'contribution': 3.2}}",10
Shane Baz,TBR,150.0,55.2,C,Below Average,1.34,4.56,3.93,27.3,3.76,3.88,0.359,0.32,0.506,113,4.98,24.4,8.8,xERA: 3.76; xFIP: 3.88; Stuff+: 113,WHIP: 1.34; FIP: 4.56; xwOBA: 0.359,"{'WHIP': {'value': 1.34, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'FIP': {'value': 4.56, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'SIERA': {'value': 3.93, 'percentile_score': 60, 'weight': 0.12, 'contribution': 7.199999999999999}, 'CSW%': {'value': 27.3, 'percentile_score': 60, 'weight': 0.12, 'contribution': 7.199999999999999}, 'xERA': {'value': 3.76, 'percentile_score': 80, 'weight': 0.1, 'contribution': 8.0}, 'xFIP': {'value': 3.88, 'percentile_score': 80, 'weight': 0.08, 'contribution': 6.4}, 'xwOBA': {'value': 0.359, 'percentile_score': 40, 'weight': 0.08, 'contribution': 3.2}, 'xBA': {'value': 0.32, 'percentile_score': 20, 'weight': 0.06, 'contribution': 1.2}, 'xSLG': {'value': 0.506, 'percentile_score': 40, 'weight': 0.06, 'contribution': 2.4}, 'Stuff+': {'value': 113, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}}",11
Clay Holmes,NYM,142.1,53.0,C-,Below Average,1.31,4.08,4.39,26.8,4.35,4.21,0.377,0.289,0.513,109,3.6,18.2,9.2,Stuff+: 109,WHIP: 1.31; xwOBA: 0.377; xBA: 0.289,"{'WHIP': {'value': 1.31, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'FIP': {'value': 4.08, 'percentile_score': 60, 'weight': 0.15, 'contribution': 9.0}, 'SIERA': {'value': 4.39, 'percentile_score': 60, 'weight': 0.12, 'contribution': 7.199999999999999}, 'CSW%': {'value': 26.8, 'percentile_score': 60, 'weight': 0.12, 'contribution': 7.199999999999999}, 'xERA': {'value': 4.35, 'percentile_score': 60, 'weight': 0.1, 'contribution': 6.0}, 'xFIP': {'value': 4.21, 'percentile_score': 60, 'weight': 0.08, 'contribution': 4.8}, 'xwOBA': {'value': 0.377, 'percentile_score': 20, 'weight': 0.08, 'contribution': 1.6}, 'xBA': {'value': 0.289, 'percentile_score': 40, 'weight': 0.06, 'contribution': 2.4}, 'xSLG': {'value': 0.513, 'percentile_score': 20, 'weight': 0.06, 'contribution': 1.2}, 'Stuff+': {'value': 109, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}}",12
Richard Fitts,BOS,45.0,45.8,D+,Below Average,1.31,5.8,4.3,24.8,5.55,4.25,0.363,0.259,0.498,107,5.0,20.5,8.2,xBA: 0.259; Stuff+: 107,WHIP: 1.31; FIP: 5.8; CSW%: 24.8,"{'WHIP': {'value': 1.31, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'FIP': {'value': 5.8, 'percentile_score': 20, 'weight': 0.15, 'contribution': 3.0}, 'SIERA': {'value': 4.3, 'percentile_score': 60, 'weight': 0.12, 'contribution': 7.199999999999999}, 'CSW%': {'value': 24.8, 'percentile_score': 40, 'weight': 0.12, 'contribution': 4.8}, 'xERA': {'value': 5.55, 'percentile_score': 20, 'weight': 0.1, 'contribution': 2.0}, 'xFIP': {'value': 4.25, 'percentile_score': 60, 'weight': 0.08, 'contribution': 4.8}, 'xwOBA': {'value': 0.363, 'percentile_score': 40, 'weight': 0.08, 'contribution': 3.2}, 'xBA': {'value': 0.259, 'percentile_score': 80, 'weight': 0.06, 'contribution': 4.8}, 'xSLG': {'value': 0.498, 'percentile_score': 40, 'weight': 0.06, 'contribution': 2.4}, 'Stuff+': {'value': 107, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}}",13
