hitter_name,team,plate_appearances,games,composite_score,grade,tier,ops,woba,wrc_plus,xwoba,xba,xslg,hard_hit_pct,barrel_pct,k_bb_ratio,avg,hr,rbi,sb,strengths,weaknesses,score_breakdown,rank
Aaron Judge,NYY,567,127,95.0,A+,Elite,1.117,0.452,196,0.451,0.299,0.697,55.60000000000001,24.2,1.47,0.324,43,97,9,OPS: 1.117; wOBA: 0.452; wRC+: 196,None identified,"{'OPS': {'value': 1.117, 'percentile_score': 95, 'weight': 0.15, 'contribution': 14.25}, 'wOBA': {'value': 0.452, 'percentile_score': 95, 'weight': 0.15, 'contribution': 14.25}, 'wRC+': {'value': 196, 'percentile_score': 95, 'weight': 0.15, 'contribution': 14.25}, 'xwOBA': {'value': 0.451, 'percentile_score': 95, 'weight': 0.12, 'contribution': 11.4}, 'xBA': {'value': 0.299, 'percentile_score': 95, 'weight': 0.1, 'contribution': 9.5}, 'xSLG': {'value': 0.697, 'percentile_score': 95, 'weight': 0.1, 'contribution': 9.5}, 'HardHit%': {'value': 55.60000000000001, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'Barrel%': {'value': 24.2, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'K:BB': {'value': 1.47, 'percentile_score': 95, 'weight': 0.07, 'contribution': 6.65}}",1
Juan Soto,NYM,605,136,95.0,A+,Elite,0.915,0.389,155,0.442,0.297,0.624,55.89999999999999,18.0,1.03,0.257,36,90,26,OPS: 0.915; wOBA: 0.389; wRC+: 155,None identified,"{'OPS': {'value': 0.915, 'percentile_score': 95, 'weight': 0.15, 'contribution': 14.25}, 'wOBA': {'value': 0.389, 'percentile_score': 95, 'weight': 0.15, 'contribution': 14.25}, 'wRC+': {'value': 155, 'percentile_score': 95, 'weight': 0.15, 'contribution': 14.25}, 'xwOBA': {'value': 0.442, 'percentile_score': 95, 'weight': 0.12, 'contribution': 11.4}, 'xBA': {'value': 0.297, 'percentile_score': 95, 'weight': 0.1, 'contribution': 9.5}, 'xSLG': {'value': 0.624, 'percentile_score': 95, 'weight': 0.1, 'contribution': 9.5}, 'HardHit%': {'value': 55.89999999999999, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'Barrel%': {'value': 18.0, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'K:BB': {'value': 1.03, 'percentile_score': 95, 'weight': 0.07, 'contribution': 6.65}}",2
Ketel Marte,ARI,461,105,95.0,A+,Elite,0.917,0.391,152,0.406,0.301,0.557,46.3,14.400000000000002,1.17,0.29,24,61,4,OPS: 0.917; wOBA: 0.391; wRC+: 152,None identified,"{'OPS': {'value': 0.917, 'percentile_score': 95, 'weight': 0.15, 'contribution': 14.25}, 'wOBA': {'value': 0.391, 'percentile_score': 95, 'weight': 0.15, 'contribution': 14.25}, 'wRC+': {'value': 152, 'percentile_score': 95, 'weight': 0.15, 'contribution': 14.25}, 'xwOBA': {'value': 0.406, 'percentile_score': 95, 'weight': 0.12, 'contribution': 11.4}, 'xBA': {'value': 0.301, 'percentile_score': 95, 'weight': 0.1, 'contribution': 9.5}, 'xSLG': {'value': 0.557, 'percentile_score': 95, 'weight': 0.1, 'contribution': 9.5}, 'HardHit%': {'value': 46.3, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'Barrel%': {'value': 14.400000000000002, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'K:BB': {'value': 1.17, 'percentile_score': 95, 'weight': 0.07, 'contribution': 6.65}}",3
Shohei Ohtani,LAD,615,134,94.0,A+,Elite,0.986,0.408,165,0.434,0.287,0.656,58.099999999999994,21.8,1.74,0.276,45,85,17,OPS: 0.986; wOBA: 0.408; wRC+: 165,None identified,"{'OPS': {'value': 0.986, 'percentile_score': 95, 'weight': 0.15, 'contribution': 14.25}, 'wOBA': {'value': 0.408, 'percentile_score': 95, 'weight': 0.15, 'contribution': 14.25}, 'wRC+': {'value': 165, 'percentile_score': 95, 'weight': 0.15, 'contribution': 14.25}, 'xwOBA': {'value': 0.434, 'percentile_score': 95, 'weight': 0.12, 'contribution': 11.4}, 'xBA': {'value': 0.287, 'percentile_score': 95, 'weight': 0.1, 'contribution': 9.5}, 'xSLG': {'value': 0.656, 'percentile_score': 95, 'weight': 0.1, 'contribution': 9.5}, 'HardHit%': {'value': 58.099999999999994, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'Barrel%': {'value': 21.8, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'K:BB': {'value': 1.74, 'percentile_score': 80, 'weight': 0.07, 'contribution': 5.6000000000000005}}",4
George Springer,TOR,476,116,94.0,A+,Elite,0.925,0.396,157,0.41,0.297,0.576,45.1,15.0,1.55,0.3,24,68,16,OPS: 0.925; wOBA: 0.396; wRC+: 157,None identified,"{'OPS': {'value': 0.925, 'percentile_score': 95, 'weight': 0.15, 'contribution': 14.25}, 'wOBA': {'value': 0.396, 'percentile_score': 95, 'weight': 0.15, 'contribution': 14.25}, 'wRC+': {'value': 157, 'percentile_score': 95, 'weight': 0.15, 'contribution': 14.25}, 'xwOBA': {'value': 0.41, 'percentile_score': 95, 'weight': 0.12, 'contribution': 11.4}, 'xBA': {'value': 0.297, 'percentile_score': 95, 'weight': 0.1, 'contribution': 9.5}, 'xSLG': {'value': 0.576, 'percentile_score': 95, 'weight': 0.1, 'contribution': 9.5}, 'HardHit%': {'value': 45.1, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'Barrel%': {'value': 15.0, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'K:BB': {'value': 1.55, 'percentile_score': 80, 'weight': 0.07, 'contribution': 5.6000000000000005}}",5
Ronald Acuna Jr.,ATL,312,72,93.5,A+,Elite,0.92,0.396,156,0.389,0.262,0.52,51.7,14.6,1.49,0.284,15,31,6,OPS: 0.92; wOBA: 0.396; wRC+: 156,None identified,"{'OPS': {'value': 0.92, 'percentile_score': 95, 'weight': 0.15, 'contribution': 14.25}, 'wOBA': {'value': 0.396, 'percentile_score': 95, 'weight': 0.15, 'contribution': 14.25}, 'wRC+': {'value': 156, 'percentile_score': 95, 'weight': 0.15, 'contribution': 14.25}, 'xwOBA': {'value': 0.389, 'percentile_score': 95, 'weight': 0.12, 'contribution': 11.4}, 'xBA': {'value': 0.262, 'percentile_score': 80, 'weight': 0.1, 'contribution': 8.0}, 'xSLG': {'value': 0.52, 'percentile_score': 95, 'weight': 0.1, 'contribution': 9.5}, 'HardHit%': {'value': 51.7, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'Barrel%': {'value': 14.6, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'K:BB': {'value': 1.49, 'percentile_score': 95, 'weight': 0.07, 'contribution': 6.65}}",6
Will Smith,LAD,426,107,93.5,A+,Elite,0.901,0.39,152,0.383,0.274,0.5,45.7,12.3,1.38,0.293,17,60,2,OPS: 0.901; wOBA: 0.39; wRC+: 152,None identified,"{'OPS': {'value': 0.901, 'percentile_score': 95, 'weight': 0.15, 'contribution': 14.25}, 'wOBA': {'value': 0.39, 'percentile_score': 95, 'weight': 0.15, 'contribution': 14.25}, 'wRC+': {'value': 152, 'percentile_score': 95, 'weight': 0.15, 'contribution': 14.25}, 'xwOBA': {'value': 0.383, 'percentile_score': 95, 'weight': 0.12, 'contribution': 11.4}, 'xBA': {'value': 0.274, 'percentile_score': 80, 'weight': 0.1, 'contribution': 8.0}, 'xSLG': {'value': 0.5, 'percentile_score': 95, 'weight': 0.1, 'contribution': 9.5}, 'HardHit%': {'value': 45.7, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'Barrel%': {'value': 12.3, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'K:BB': {'value': 1.38, 'percentile_score': 95, 'weight': 0.07, 'contribution': 6.65}}",7
Vladimir Guerrero Jr.,TOR,577,132,92.8,A+,Elite,0.859,0.37,138,0.405,0.317,0.536,51.1,13.0,1.13,0.287,21,74,5,OPS: 0.859; wOBA: 0.37; wRC+: 138,None identified,"{'OPS': {'value': 0.859, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'wOBA': {'value': 0.37, 'percentile_score': 95, 'weight': 0.15, 'contribution': 14.25}, 'wRC+': {'value': 138, 'percentile_score': 95, 'weight': 0.15, 'contribution': 14.25}, 'xwOBA': {'value': 0.405, 'percentile_score': 95, 'weight': 0.12, 'contribution': 11.4}, 'xBA': {'value': 0.317, 'percentile_score': 95, 'weight': 0.1, 'contribution': 9.5}, 'xSLG': {'value': 0.536, 'percentile_score': 95, 'weight': 0.1, 'contribution': 9.5}, 'HardHit%': {'value': 51.1, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'Barrel%': {'value': 13.0, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'K:BB': {'value': 1.13, 'percentile_score': 95, 'weight': 0.07, 'contribution': 6.65}}",8
Kyle Schwarber,PHI,615,138,92.5,A+,Elite,0.943,0.397,155,0.422,0.272,0.618,60.2,20.7,1.83,0.245,49,119,10,OPS: 0.943; wOBA: 0.397; wRC+: 155,None identified,"{'OPS': {'value': 0.943, 'percentile_score': 95, 'weight': 0.15, 'contribution': 14.25}, 'wOBA': {'value': 0.397, 'percentile_score': 95, 'weight': 0.15, 'contribution': 14.25}, 'wRC+': {'value': 155, 'percentile_score': 95, 'weight': 0.15, 'contribution': 14.25}, 'xwOBA': {'value': 0.422, 'percentile_score': 95, 'weight': 0.12, 'contribution': 11.4}, 'xBA': {'value': 0.272, 'percentile_score': 80, 'weight': 0.1, 'contribution': 8.0}, 'xSLG': {'value': 0.618, 'percentile_score': 95, 'weight': 0.1, 'contribution': 9.5}, 'HardHit%': {'value': 60.2, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'Barrel%': {'value': 20.7, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'K:BB': {'value': 1.83, 'percentile_score': 80, 'weight': 0.07, 'contribution': 5.6000000000000005}}",9
Max Muncy,LAD,347,89,91.3,A+,Elite,0.88,0.38,146,0.4,0.264,0.543,52.6,13.699999999999998,1.21,0.258,17,64,4,OPS: 0.88; wOBA: 0.38; wRC+: 146,None identified,"{'OPS': {'value': 0.88, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'wOBA': {'value': 0.38, 'percentile_score': 95, 'weight': 0.15, 'contribution': 14.25}, 'wRC+': {'value': 146, 'percentile_score': 95, 'weight': 0.15, 'contribution': 14.25}, 'xwOBA': {'value': 0.4, 'percentile_score': 95, 'weight': 0.12, 'contribution': 11.4}, 'xBA': {'value': 0.264, 'percentile_score': 80, 'weight': 0.1, 'contribution': 8.0}, 'xSLG': {'value': 0.543, 'percentile_score': 95, 'weight': 0.1, 'contribution': 9.5}, 'HardHit%': {'value': 52.6, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'Barrel%': {'value': 13.699999999999998, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'K:BB': {'value': 1.21, 'percentile_score': 95, 'weight': 0.07, 'contribution': 6.65}}",10
