pitcher_name,composite_score,grade,tier,whip,fip,siera,csw_rate,xera,xfip,xwoba,xba,xslg,stuff_plus,best_pitch,worst_pitch,strengths,weaknesses,rank
Freddy Peralta,85.8,A,Elite,0.926,2.507,0.0,29.6,1.268,2.257,0.235,0.252,0.379,95.0,CU (-0.015),FF (0.016),WHIP: 0.926; FIP: 2.507; SIERA: 0.0,STUFF_PLUS: 95.0,1
Paul Skenes,75.8,B+,Above Average,1.229,2.558,0.0,30.3,1.428,2.302,0.265,0.32,0.498,98.0,CH (-0.008),SL (0.095),FIP: 2.558; SIERA: 0.0; CSW_RATE: 30.3,XBA: 0.32; XSLG: 0.498; STUFF_PLUS: 98.0,2
Brady Singer,73.4,B,Average,1.215,2.53,0.0,28.7,1.552,2.277,0.287,0.315,0.483,97.0,SL (-0.006),FF (0.037),FIP: 2.53; SIERA: 0.0; XERA: 1.552,XBA: 0.315; XSLG: 0.483; STUFF_PLUS: 97.0,3
Nick Pivetta,73.4,B,Average,0.933,3.867,0.0,30.3,1.66,3.48,0.307,0.295,0.6,98.0,FS (-0.033),FF (0.025),WHIP: 0.933; SIERA: 0.0; CSW_RATE: 30.3,XBA: 0.295; XSLG: 0.6; STUFF_PLUS: 98.0,4
Kevin Gausman,72.4,B,Average,0.968,3.003,0.0,27.5,1.645,2.703,0.305,0.349,0.546,91.0,FF (0.008),SL (0.039),WHIP: 0.968; FIP: 3.003; SIERA: 0.0,XBA: 0.349; XSLG: 0.546; STUFF_PLUS: 91.0,5
Edward Cabrera,71.7,B,Average,1.194,3.566,0.0,34.5,1.719,3.209,0.318,0.383,0.593,99.0,CH (0.003),SI (0.055),WHIP: 1.194; SIERA: 0.0; CSW_RATE: 34.5,XBA: 0.383; XSLG: 0.593; STUFF_PLUS: 99.0,6
Joe Ryan,65.3,B-,Average,1.275,3.85,0.0,29.2,1.753,3.465,0.325,0.343,0.685,99.0,ST (-0.002),FF (0.038),SIERA: 0.0; CSW_RATE: 29.2; XERA: 1.753,XBA: 0.343; XSLG: 0.685; STUFF_PLUS: 99.0,7
Jack Flaherty,63.5,C+,Average,1.579,3.376,0.0,30.7,1.793,3.039,0.332,0.345,0.604,95.0,CH (0.000),KC (0.044),FIP: 3.376; SIERA: 0.0; CSW_RATE: 30.7,WHIP: 1.579; XBA: 0.345; XSLG: 0.604,8
Clay Holmes,63.4,C+,Average,1.543,2.929,2.043,24.7,1.68,2.636,0.311,0.314,0.455,93.0,SL (-0.009),SI (0.030),FIP: 2.929; SIERA: 2.043; XERA: 1.68,WHIP: 1.543; CSW_RATE: 24.7; XBA: 0.314,9
Max Fried,57.7,C,Below Average,1.612,3.738,0.094,31.1,1.944,3.364,0.36,0.396,0.617,96.0,SL (-0.008),FF (0.065),SIERA: 0.094; CSW_RATE: 31.1; XERA: 1.944,WHIP: 1.612; XWOBA: 0.36; XBA: 0.396,10
Richard Fitts,52.9,C-,Below Average,1.25,6.35,2.87,29.4,1.92,5.715,0.356,0.392,0.657,98.0,ST (-0.033),CU (0.240),SIERA: 2.87; CSW_RATE: 29.4; XERA: 1.92,FIP: 6.35; XFIP: 5.715; XWOBA: 0.356,11
Shane Baz,50.9,C-,Below Average,1.541,5.005,0.0,28.7,1.727,4.505,0.32,0.337,0.619,103.0,CH (0.005),FC (0.071),SIERA: 0.0; XERA: 1.727; XWOBA: 0.32,WHIP: 1.541; FIP: 5.005; XFIP: 4.505,12
Jeffrey Springs,49.1,D+,Below Average,1.417,5.267,0.924,27.0,1.777,4.74,0.329,0.331,0.538,85.0,ST (0.012),FC (0.050),SIERA: 0.924; XERA: 1.777,WHIP: 1.417; FIP: 5.267; XFIP: 4.74,13
Andre Pallante,42.1,D,Poor,2.32,6.26,1.885,24.4,1.839,5.634,0.341,0.32,0.531,99.0,ST (0.000),FF (0.077),SIERA: 1.885; XERA: 1.839,WHIP: 2.32; FIP: 6.26; CSW_RATE: 24.4,14
Tyler Anderson,34.7,F,Poor,1.74,7.54,4.569,26.7,2.5,6.786,0.463,0.409,0.811,87.0,SI (-0.042),FF (0.065),XERA: 2.5,WHIP: 1.74; FIP: 7.54; SIERA: 4.569,15
