game_id,game_date,game_time,status,away_team,home_team,away_team_full,home_team_full,away_pitcher,home_pitcher,venue,weather,away_score,home_score
776490,2025-09-02,2025-09-02T22:40:00Z,Scheduled,NYM,DET,New York Mets,Detroit Tigers,Nolan McLean,Sawyer Gipson-Long,Comerica Park,"°F, , ",,
776496,2025-09-02,2025-09-02T22:40:00Z,Scheduled,LAD,PIT,Los Angeles Dodgers,Pittsburgh Pirates,Clayton Kershaw,Carmen Mlodzinski,PNC Park,"°F, , ",,
776491,2025-09-02,2025-09-02T22:40:00Z,Pre-Game,TOR,CIN,Toronto Blue Jays,Cincinnati Reds,José Berríos,Scott Barlow,Great American Ball Park,"80°F, Partly Cloudy, 5 mph, In From RF",,
776493,2025-09-02,2025-09-02T22:45:00Z,Pre-Game,CLE,BOS,Cleveland Guardians,Boston Red Sox,Slade Cecconi,Garrett Crochet,Fenway Park,"71°F, Partly Cloudy, 7 mph, In From RF",,
776482,2025-09-02,2025-09-02T22:45:00Z,Scheduled,MIA,WAS,Miami Marlins,Washington Nationals,Adam Mazur,Cade Cavalli,Nationals Park,"°F, , ",,
776485,2025-09-02,2025-09-02T23:35:00Z,Scheduled,SEA,TB,Seattle Mariners,Tampa Bay Rays,Bryan Woo,Drew Rasmussen,George M. Steinbrenner Field,"°F, , ",,
776488,2025-09-02,2025-09-02T23:40:00Z,Scheduled,LAA,KC,Los Angeles Angels,Kansas City Royals,,Michael Lorenzen,Kauffman Stadium,"°F, , ",,
776487,2025-09-02,2025-09-02T23:40:00Z,Scheduled,ATL,CHC,Atlanta Braves,Chicago Cubs,Joey Wentz,Shota Imanaga,Wrigley Field,"°F, , ",,
776484,2025-09-02,2025-09-02T23:40:00Z,Pre-Game,CWS,MIN,Chicago White Sox,Minnesota Twins,Davis Martin,Simeon Woods Richardson,Target Field,"77°F, Partly Cloudy, 9 mph, Out To LF",,
776483,2025-09-02,2025-09-02T23:45:00Z,Pre-Game,Athletics,STL,Athletics,St. Louis Cardinals,Luis Severino,Miles Mikolas,Busch Stadium,"80°F, Partly Cloudy, 3 mph, In From LF",,
776489,2025-09-03,2025-09-03T00:10:00Z,Scheduled,NYY,HOU,New York Yankees,Houston Astros,Max Fried,Framber Valdez,Daikin Park,"°F, , ",,
776486,2025-09-03,2025-09-03T00:40:00Z,Scheduled,SF,COL,San Francisco Giants,Colorado Rockies,Logan Webb,Kyle Freeland,Coors Field,"°F, , ",,
776480,2025-09-03,2025-09-03T01:40:00Z,Scheduled,BAL,SD,Baltimore Orioles,San Diego Padres,Tyler Wells,Yu Darvish,Petco Park,"°F, , ",,
776481,2025-09-03,2025-09-03T01:40:00Z,Scheduled,TEX,ARI,Texas Rangers,Arizona Diamondbacks,,Nabil Crismatt,Chase Field,"°F, , ",,
